sort_order,namespace,object_id,property_path,value_type,unit,source_sheet,source_cell,required,include_runtime,notes_ru
528,action,bear_rampage_charge,startup_base_ticks,int,,Actions,R13,1,1,Источник Actions.Startup Base Ticks
529,action,bear_rampage_charge,startup_min_ticks,int,,Actions,S13,1,1,Источник Actions.Startup Min Ticks
530,action,bear_rampage_charge,startup_max_ticks,int,,Actions,T13,1,1,Источник Actions.Startup Max Ticks
531,action,bear_rampage_charge,active_ticks,int,,Actions,U13,1,1,Источник Actions.Active Ticks
532,action,bear_rampage_charge,hit_schedule,string,,Actions,V13,1,1,Источник Actions.Hit Schedule
533,action,bear_rampage_charge,hit_count,int,,Actions,W13,1,1,Источник Actions.Hit Count
534,action,bear_rampage_charge,recovery_base_ticks,int,,Actions,X13,1,1,Источник Actions.Recovery Base Ticks
535,action,bear_rampage_charge,recovery_min_ticks,int,,Actions,Y13,1,1,Источник Actions.Recovery Min Ticks
536,action,bear_rampage_charge,recovery_max_ticks,int,,Actions,Z13,1,1,Источник Actions.Recovery Max Ticks
537,action,bear_rampage_charge,cooldown_ticks,int,,Actions,AA13,1,1,Источник Actions.Cooldown Ticks
538,action,bear_rampage_charge,action_priority,int,,Actions,AB13,1,1,Источник Actions.Action Priority
539,action,bear_rampage_charge,clash_priority,int,,Actions,AC13,1,1,Источник Actions.Clash Priority
540,action,bear_rampage_charge,grab_priority,int,,Actions,AD13,1,1,Источник Actions.Grab Priority
541,action,bear_rampage_charge,resolution_priority,int,,Actions,AE13,1,1,Источник Actions.Resolution Priority
542,action,bear_rampage_charge,interrupt_profile,string,,Actions,AF13,1,1,Источник Actions.Interrupt Profile
543,action,bear_rampage_charge,blockable,bool,,Actions,AG13,1,1,Источник Actions.Blockable
544,action,bear_rampage_charge,dodgeable,bool,,Actions,AH13,1,1,Источник Actions.Dodgeable
545,action,bear_rampage_charge,undodgeable,bool,,Actions,AI13,1,1,Источник Actions.Undodgeable
546,action,bear_rampage_charge,wall_impact,bool,,Actions,AJ13,1,1,Источник Actions.Wall Impact
547,action,bear_rampage_charge,track_target,bool,,Actions,AK13,1,1,Источник Actions.Track Target
548,action,bear_rampage_charge,block_base_chance_fp,int,,Actions,AL13,1,1,Источник Actions.Block Base Chance FP
549,action,bear_rampage_charge,block_reduction_fp,int,,Actions,AM13,1,1,Источник Actions.Block Reduction FP
550,action,bear_rampage_charge,dodge_base_chance_fp,int,,Actions,AN13,1,1,Источник Actions.Dodge Base Chance FP
551,action,bear_rampage_charge,movement_mode,string,,Actions,AO13,1,1,Источник Actions.Movement Mode
552,action,bear_rampage_charge,move_distance,int,,Actions,AP13,1,1,Источник Actions.Move Distance
553,action,bear_rampage_charge,base_stagger,int,,Actions,AQ13,1,1,Источник Actions.Base Stagger
554,action,bear_rampage_charge,base_stun_ticks,int,,Actions,AR13,1,1,Источник Actions.Base Stun Ticks
555,action,bear_rampage_charge,base_knockback,int,,Actions,AS13,1,1,Источник Actions.Base Knockback
556,action,bear_rampage_charge,knockback_min,int,,Actions,AT13,1,1,Источник Actions.Knockback Min
557,action,bear_rampage_charge,knockback_max,int,,Actions,AU13,1,1,Источник Actions.Knockback Max
558,action,bear_rampage_charge,wall_damage_per_unit_fp,int,,Actions,AV13,1,1,Источник Actions.Wall Damage / Unit FP
559,action,bear_rampage_charge,wall_damage_min,int,,Actions,AW13,1,1,Источник Actions.Wall Damage Min
560,action,bear_rampage_charge,wall_damage_max,int,,Actions,AX13,1,1,Источник Actions.Wall Damage Max
561,action,bear_rampage_charge,max_consecutive_uses,int,,Actions,AY13,1,1,Источник Actions.Max Consecutive Uses
562,action,bear_rampage_charge,opportunity_cap_fp,int,,Actions,AZ13,1,1,Источник Actions.Opportunity Cap FP
563,action,bear_rampage_charge,hard_opportunity_misses,int,,Actions,BA13,1,1,Источник Actions.Hard Opportunity Misses
564,action,bear_earthbreaker,action_id,string,,Actions,A14,1,1,Источник Actions.Action ID
565,action,bear_earthbreaker,animal_id,string,,Actions,B14,1,1,Источник Actions.Animal ID
566,action,bear_earthbreaker,slot_type,string,,Actions,D14,1,1,Источник Actions.Slot Type
567,action,bear_earthbreaker,category,string,,Actions,E14,1,1,Источник Actions.Category
568,action,bear_earthbreaker,tags,string,,Actions,F14,1,1,Источник Actions.Tags
569,action,bear_earthbreaker,base_weight,int,,Actions,G14,1,1,Источник Actions.Base Weight
570,action,bear_earthbreaker,preferred_range_min,int,,Actions,H14,1,1,Источник Actions.Preferred Range Min
571,action,bear_earthbreaker,preferred_range_max,int,,Actions,I14,1,1,Источник Actions.Preferred Range Max
572,action,bear_earthbreaker,hit_range_min,int,,Actions,J14,1,1,Источник Actions.Hit Range Min
573,action,bear_earthbreaker,hit_range_max,int,,Actions,K14,1,1,Источник Actions.Hit Range Max
574,action,bear_earthbreaker,energy_cost,int,,Actions,L14,1,1,Источник Actions.Energy Cost
575,action,bear_earthbreaker,resource_cost,int,,Actions,M14,1,1,Источник Actions.Resource Cost
576,action,bear_earthbreaker,base_damage,int,,Actions,N14,1,1,Источник Actions.Base Damage / hit
577,action,bear_earthbreaker,power_ratio_fp,int,,Actions,O14,1,1,Источник Actions.Power Ratio FP
578,action,bear_earthbreaker,min_damage,int,,Actions,P14,1,1,Источник Actions.Min Damage
579,action,bear_earthbreaker,chip_min,int,,Actions,Q14,1,1,Источник Actions.Chip Min
580,action,bear_earthbreaker,startup_base_ticks,int,,Actions,R14,1,1,Источник Actions.Startup Base Ticks
581,action,bear_earthbreaker,startup_min_ticks,int,,Actions,S14,1,1,Источник Actions.Startup Min Ticks
582,action,bear_earthbreaker,startup_max_ticks,int,,Actions,T14,1,1,Источник Actions.Startup Max Ticks
583,action,bear_earthbreaker,active_ticks,int,,Actions,U14,1,1,Источник Actions.Active Ticks
584,action,bear_earthbreaker,hit_schedule,string,,Actions,V14,1,1,Источник Actions.Hit Schedule
585,action,bear_earthbreaker,hit_count,int,,Actions,W14,1,1,Источник Actions.Hit Count
586,action,bear_earthbreaker,recovery_base_ticks,int,,Actions,X14,1,1,Источник Actions.Recovery Base Ticks
587,action,bear_earthbreaker,recovery_min_ticks,int,,Actions,Y14,1,1,Источник Actions.Recovery Min Ticks
588,action,bear_earthbreaker,recovery_max_ticks,int,,Actions,Z14,1,1,Источник Actions.Recovery Max Ticks
589,action,bear_earthbreaker,cooldown_ticks,int,,Actions,AA14,1,1,Источник Actions.Cooldown Ticks
590,action,bear_earthbreaker,action_priority,int,,Actions,AB14,1,1,Источник Actions.Action Priority
591,action,bear_earthbreaker,clash_priority,int,,Actions,AC14,1,1,Источник Actions.Clash Priority
592,action,bear_earthbreaker,grab_priority,int,,Actions,AD14,1,1,Источник Actions.Grab Priority
593,action,bear_earthbreaker,resolution_priority,int,,Actions,AE14,1,1,Источник Actions.Resolution Priority
594,action,bear_earthbreaker,interrupt_profile,string,,Actions,AF14,1,1,Источник Actions.Interrupt Profile
595,action,bear_earthbreaker,blockable,bool,,Actions,AG14,1,1,Источник Actions.Blockable
596,action,bear_earthbreaker,dodgeable,bool,,Actions,AH14,1,1,Источник Actions.Dodgeable
597,action,bear_earthbreaker,undodgeable,bool,,Actions,AI14,1,1,Источник Actions.Undodgeable
598,action,bear_earthbreaker,wall_impact,bool,,Actions,AJ14,1,1,Источник Actions.Wall Impact
599,action,bear_earthbreaker,track_target,bool,,Actions,AK14,1,1,Источник Actions.Track Target
600,action,bear_earthbreaker,block_base_chance_fp,int,,Actions,AL14,1,1,Источник Actions.Block Base Chance FP
601,action,bear_earthbreaker,block_reduction_fp,int,,Actions,AM14,1,1,Источник Actions.Block Reduction FP
602,action,bear_earthbreaker,dodge_base_chance_fp,int,,Actions,AN14,1,1,Источник Actions.Dodge Base Chance FP
603,action,bear_earthbreaker,movement_mode,string,,Actions,AO14,1,1,Источник Actions.Movement Mode
604,action,bear_earthbreaker,move_distance,int,,Actions,AP14,1,1,Источник Actions.Move Distance
605,action,bear_earthbreaker,base_stagger,int,,Actions,AQ14,1,1,Источник Actions.Base Stagger
606,action,bear_earthbreaker,base_stun_ticks,int,,Actions,AR14,1,1,Источник Actions.Base Stun Ticks
607,action,bear_earthbreaker,base_knockback,int,,Actions,AS14,1,1,Источник Actions.Base Knockback
608,action,bear_earthbreaker,knockback_min,int,,Actions,AT14,1,1,Источник Actions.Knockback Min
609,action,bear_earthbreaker,knockback_max,int,,Actions,AU14,1,1,Источник Actions.Knockback Max
610,action,bear_earthbreaker,wall_damage_per_unit_fp,int,,Actions,AV14,1,1,Источник Actions.Wall Damage / Unit FP
611,action,bear_earthbreaker,wall_damage_min,int,,Actions,AW14,1,1,Источник Actions.Wall Damage Min
612,action,bear_earthbreaker,wall_damage_max,int,,Actions,AX14,1,1,Источник Actions.Wall Damage Max
613,action,bear_earthbreaker,max_consecutive_uses,int,,Actions,AY14,1,1,Источник Actions.Max Consecutive Uses
614,action,bear_earthbreaker,opportunity_cap_fp,int,,Actions,AZ14,1,1,Источник Actions.Opportunity Cap FP
615,action,bear_earthbreaker,hard_opportunity_misses,int,,Actions,BA14,1,1,Источник Actions.Hard Opportunity Misses
616,action,bear_fury_maul,action_id,string,,Actions,A15,1,1,Источник Actions.Action ID
617,action,bear_fury_maul,animal_id,string,,Actions,B15,1,1,Источник Actions.Animal ID
618,action,bear_fury_maul,slot_type,string,,Actions,D15,1,1,Источник Actions.Slot Type
619,action,bear_fury_maul,category,string,,Actions,E15,1,1,Источник Actions.Category
620,action,bear_fury_maul,tags,string,,Actions,F15,1,1,Источник Actions.Tags
621,action,bear_fury_maul,base_weight,int,,Actions,G15,1,1,Источник Actions.Base Weight
622,action,bear_fury_maul,preferred_range_min,int,,Actions,H15,1,1,Источник Actions.Preferred Range Min
623,action,bear_fury_maul,preferred_range_max,int,,Actions,I15,1,1,Источник Actions.Preferred Range Max
624,action,bear_fury_maul,hit_range_min,int,,Actions,J15,1,1,Источник Actions.Hit Range Min
625,action,bear_fury_maul,hit_range_max,int,,Actions,K15,1,1,Источник Actions.Hit Range Max
626,action,bear_fury_maul,energy_cost,int,,Actions,L15,1,1,Источник Actions.Energy Cost
627,action,bear_fury_maul,resource_cost,int,,Actions,M15,1,1,Источник Actions.Resource Cost
628,action,bear_fury_maul,base_damage,int,,Actions,N15,1,1,Источник Actions.Base Damage / hit
629,action,bear_fury_maul,power_ratio_fp,int,,Actions,O15,1,1,Источник Actions.Power Ratio FP
630,action,bear_fury_maul,min_damage,int,,Actions,P15,1,1,Источник Actions.Min Damage
631,action,bear_fury_maul,chip_min,int,,Actions,Q15,1,1,Источник Actions.Chip Min
632,action,bear_fury_maul,startup_base_ticks,int,,Actions,R15,1,1,Источник Actions.Startup Base Ticks
633,action,bear_fury_maul,startup_min_ticks,int,,Actions,S15,1,1,Источник Actions.Startup Min Ticks
634,action,bear_fury_maul,startup_max_ticks,int,,Actions,T15,1,1,Источник Actions.Startup Max Ticks
635,action,bear_fury_maul,active_ticks,int,,Actions,U15,1,1,Источник Actions.Active Ticks
636,action,bear_fury_maul,hit_schedule,string,,Actions,V15,1,1,Источник Actions.Hit Schedule
637,action,bear_fury_maul,hit_count,int,,Actions,W15,1,1,Источник Actions.Hit Count
638,action,bear_fury_maul,recovery_base_ticks,int,,Actions,X15,1,1,Источник Actions.Recovery Base Ticks
639,action,bear_fury_maul,recovery_min_ticks,int,,Actions,Y15,1,1,Источник Actions.Recovery Min Ticks
640,action,bear_fury_maul,recovery_max_ticks,int,,Actions,Z15,1,1,Источник Actions.Recovery Max Ticks
641,action,bear_fury_maul,cooldown_ticks,int,,Actions,AA15,1,1,Источник Actions.Cooldown Ticks
642,action,bear_fury_maul,action_priority,int,,Actions,AB15,1,1,Источник Actions.Action Priority
643,action,bear_fury_maul,clash_priority,int,,Actions,AC15,1,1,Источник Actions.Clash Priority
644,action,bear_fury_maul,grab_priority,int,,Actions,AD15,1,1,Источник Actions.Grab Priority
645,action,bear_fury_maul,resolution_priority,int,,Actions,AE15,1,1,Источник Actions.Resolution Priority
646,action,bear_fury_maul,interrupt_profile,string,,Actions,AF15,1,1,Источник Actions.Interrupt Profile
647,action,bear_fury_maul,blockable,bool,,Actions,AG15,1,1,Источник Actions.Blockable
648,action,bear_fury_maul,dodgeable,bool,,Actions,AH15,1,1,Источник Actions.Dodgeable
649,action,bear_fury_maul,undodgeable,bool,,Actions,AI15,1,1,Источник Actions.Undodgeable
650,action,bear_fury_maul,wall_impact,bool,,Actions,AJ15,1,1,Источник Actions.Wall Impact
651,action,bear_fury_maul,track_target,bool,,Actions,AK15,1,1,Источник Actions.Track Target
652,action,bear_fury_maul,block_base_chance_fp,int,,Actions,AL15,1,1,Источник Actions.Block Base Chance FP
653,action,bear_fury_maul,block_reduction_fp,int,,Actions,AM15,1,1,Источник Actions.Block Reduction FP
654,action,bear_fury_maul,dodge_base_chance_fp,int,,Actions,AN15,1,1,Источник Actions.Dodge Base Chance FP
655,action,bear_fury_maul,movement_mode,string,,Actions,AO15,1,1,Источник Actions.Movement Mode
656,action,bear_fury_maul,move_distance,int,,Actions,AP15,1,1,Источник Actions.Move Distance
657,action,bear_fury_maul,base_stagger,int,,Actions,AQ15,1,1,Источник Actions.Base Stagger
658,action,bear_fury_maul,base_stun_ticks,int,,Actions,AR15,1,1,Источник Actions.Base Stun Ticks
659,action,bear_fury_maul,base_knockback,int,,Actions,AS15,1,1,Источник Actions.Base Knockback
660,action,bear_fury_maul,knockback_min,int,,Actions,AT15,1,1,Источник Actions.Knockback Min
661,action,bear_fury_maul,knockback_max,int,,Actions,AU15,1,1,Источник Actions.Knockback Max
662,action,bear_fury_maul,wall_damage_per_unit_fp,int,,Actions,AV15,1,1,Источник Actions.Wall Damage / Unit FP
663,action,bear_fury_maul,wall_damage_min,int,,Actions,AW15,1,1,Источник Actions.Wall Damage Min
664,action,bear_fury_maul,wall_damage_max,int,,Actions,AX15,1,1,Источник Actions.Wall Damage Max
665,action,bear_fury_maul,max_consecutive_uses,int,,Actions,AY15,1,1,Источник Actions.Max Consecutive Uses
666,action,bear_fury_maul,opportunity_cap_fp,int,,Actions,AZ15,1,1,Источник Actions.Opportunity Cap FP
667,action,bear_fury_maul,hard_opportunity_misses,int,,Actions,BA15,1,1,Источник Actions.Hard Opportunity Misses
668,action,kangaroo_lead_jab,action_id,string,,Actions,A16,1,1,Источник Actions.Action ID
669,action,kangaroo_lead_jab,animal_id,string,,Actions,B16,1,1,Источник Actions.Animal ID
670,action,kangaroo_lead_jab,slot_type,string,,Actions,D16,1,1,Источник Actions.Slot Type
671,action,kangaroo_lead_jab,category,string,,Actions,E16,1,1,Источник Actions.Category
672,action,kangaroo_lead_jab,tags,string,,Actions,F16,1,1,Источник Actions.Tags
673,action,kangaroo_lead_jab,base_weight,int,,Actions,G16,1,1,Источник Actions.Base Weight
674,action,kangaroo_lead_jab,preferred_range_min,int,,Actions,H16,1,1,Источник Actions.Preferred Range Min
675,action,kangaroo_lead_jab,preferred_range_max,int,,Actions,I16,1,1,Источник Actions.Preferred Range Max
676,action,kangaroo_lead_jab,hit_range_min,int,,Actions,J16,1,1,Источник Actions.Hit Range Min
677,action,kangaroo_lead_jab,hit_range_max,int,,Actions,K16,1,1,Источник Actions.Hit Range Max
678,action,kangaroo_lead_jab,energy_cost,int,,Actions,L16,1,1,Источник Actions.Energy Cost
679,action,kangaroo_lead_jab,resource_cost,int,,Actions,M16,1,1,Источник Actions.Resource Cost
680,action,kangaroo_lead_jab,base_damage,int,,Actions,N16,1,1,Источник Actions.Base Damage / hit
681,action,kangaroo_lead_jab,power_ratio_fp,int,,Actions,O16,1,1,Источник Actions.Power Ratio FP
682,action,kangaroo_lead_jab,min_damage,int,,Actions,P16,1,1,Источник Actions.Min Damage
683,action,kangaroo_lead_jab,chip_min,int,,Actions,Q16,1,1,Источник Actions.Chip Min
684,action,kangaroo_lead_jab,startup_base_ticks,int,,Actions,R16,1,1,Источник Actions.Startup Base Ticks
685,action,kangaroo_lead_jab,startup_min_ticks,int,,Actions,S16,1,1,Источник Actions.Startup Min Ticks
686,action,kangaroo_lead_jab,startup_max_ticks,int,,Actions,T16,1,1,Источник Actions.Startup Max Ticks
687,action,kangaroo_lead_jab,active_ticks,int,,Actions,U16,1,1,Источник Actions.Active Ticks
688,action,kangaroo_lead_jab,hit_schedule,string,,Actions,V16,1,1,Источник Actions.Hit Schedule
689,action,kangaroo_lead_jab,hit_count,int,,Actions,W16,1,1,Источник Actions.Hit Count
690,action,kangaroo_lead_jab,recovery_base_ticks,int,,Actions,X16,1,1,Источник Actions.Recovery Base Ticks
691,action,kangaroo_lead_jab,recovery_min_ticks,int,,Actions,Y16,1,1,Источник Actions.Recovery Min Ticks
692,action,kangaroo_lead_jab,recovery_max_ticks,int,,Actions,Z16,1,1,Источник Actions.Recovery Max Ticks
693,action,kangaroo_lead_jab,cooldown_ticks,int,,Actions,AA16,1,1,Источник Actions.Cooldown Ticks
694,action,kangaroo_lead_jab,action_priority,int,,Actions,AB16,1,1,Источник Actions.Action Priority
695,action,kangaroo_lead_jab,clash_priority,int,,Actions,AC16,1,1,Источник Actions.Clash Priority
696,action,kangaroo_lead_jab,grab_priority,int,,Actions,AD16,1,1,Источник Actions.Grab Priority
697,action,kangaroo_lead_jab,resolution_priority,int,,Actions,AE16,1,1,Источник Actions.Resolution Priority
698,action,kangaroo_lead_jab,interrupt_profile,string,,Actions,AF16,1,1,Источник Actions.Interrupt Profile
699,action,kangaroo_lead_jab,blockable,bool,,Actions,AG16,1,1,Источник Actions.Blockable
700,action,kangaroo_lead_jab,dodgeable,bool,,Actions,AH16,1,1,Источник Actions.Dodgeable
701,action,kangaroo_lead_jab,undodgeable,bool,,Actions,AI16,1,1,Источник Actions.Undodgeable
702,action,kangaroo_lead_jab,wall_impact,bool,,Actions,AJ16,1,1,Источник Actions.Wall Impact
703,action,kangaroo_lead_jab,track_target,bool,,Actions,AK16,1,1,Источник Actions.Track Target
704,action,kangaroo_lead_jab,block_base_chance_fp,int,,Actions,AL16,1,1,Источник Actions.Block Base Chance FP
705,action,kangaroo_lead_jab,block_reduction_fp,int,,Actions,AM16,1,1,Источник Actions.Block Reduction FP
706,action,kangaroo_lead_jab,dodge_base_chance_fp,int,,Actions,AN16,1,1,Источник Actions.Dodge Base Chance FP
707,action,kangaroo_lead_jab,movement_mode,string,,Actions,AO16,1,1,Источник Actions.Movement Mode
708,action,kangaroo_lead_jab,move_distance,int,,Actions,AP16,1,1,Источник Actions.Move Distance
709,action,kangaroo_lead_jab,base_stagger,int,,Actions,AQ16,1,1,Источник Actions.Base Stagger
710,action,kangaroo_lead_jab,base_stun_ticks,int,,Actions,AR16,1,1,Источник Actions.Base Stun Ticks
711,action,kangaroo_lead_jab,base_knockback,int,,Actions,AS16,1,1,Источник Actions.Base Knockback
712,action,kangaroo_lead_jab,knockback_min,int,,Actions,AT16,1,1,Источник Actions.Knockback Min
713,action,kangaroo_lead_jab,knockback_max,int,,Actions,AU16,1,1,Источник Actions.Knockback Max
714,action,kangaroo_lead_jab,wall_damage_per_unit_fp,int,,Actions,AV16,1,1,Источник Actions.Wall Damage / Unit FP
715,action,kangaroo_lead_jab,wall_damage_min,int,,Actions,AW16,1,1,Источник Actions.Wall Damage Min
716,action,kangaroo_lead_jab,wall_damage_max,int,,Actions,AX16,1,1,Источник Actions.Wall Damage Max
717,action,kangaroo_lead_jab,max_consecutive_uses,int,,Actions,AY16,1,1,Источник Actions.Max Consecutive Uses
718,action,kangaroo_lead_jab,opportunity_cap_fp,int,,Actions,AZ16,1,1,Источник Actions.Opportunity Cap FP
719,action,kangaroo_lead_jab,hard_opportunity_misses,int,,Actions,BA16,1,1,Источник Actions.Hard Opportunity Misses
720,action,kangaroo_push_kick,action_id,string,,Actions,A17,1,1,Источник Actions.Action ID
721,action,kangaroo_push_kick,animal_id,string,,Actions,B17,1,1,Источник Actions.Animal ID
722,action,kangaroo_push_kick,slot_type,string,,Actions,D17,1,1,Источник Actions.Slot Type
723,action,kangaroo_push_kick,category,string,,Actions,E17,1,1,Источник Actions.Category
724,action,kangaroo_push_kick,tags,string,,Actions,F17,1,1,Источник Actions.Tags
725,action,kangaroo_push_kick,base_weight,int,,Actions,G17,1,1,Источник Actions.Base Weight
726,action,kangaroo_push_kick,preferred_range_min,int,,Actions,H17,1,1,Источник Actions.Preferred Range Min
727,action,kangaroo_push_kick,preferred_range_max,int,,Actions,I17,1,1,Источник Actions.Preferred Range Max
728,action,kangaroo_push_kick,hit_range_min,int,,Actions,J17,1,1,Источник Actions.Hit Range Min
729,action,kangaroo_push_kick,hit_range_max,int,,Actions,K17,1,1,Источник Actions.Hit Range Max
730,action,kangaroo_push_kick,energy_cost,int,,Actions,L17,1,1,Источник Actions.Energy Cost
731,action,kangaroo_push_kick,resource_cost,int,,Actions,M17,1,1,Источник Actions.Resource Cost
732,action,kangaroo_push_kick,base_damage,int,,Actions,N17,1,1,Источник Actions.Base Damage / hit
733,action,kangaroo_push_kick,power_ratio_fp,int,,Actions,O17,1,1,Источник Actions.Power Ratio FP
734,action,kangaroo_push_kick,min_damage,int,,Actions,P17,1,1,Источник Actions.Min Damage
735,action,kangaroo_push_kick,chip_min,int,,Actions,Q17,1,1,Источник Actions.Chip Min
736,action,kangaroo_push_kick,startup_base_ticks,int,,Actions,R17,1,1,Источник Actions.Startup Base Ticks
737,action,kangaroo_push_kick,startup_min_ticks,int,,Actions,S17,1,1,Источник Actions.Startup Min Ticks
738,action,kangaroo_push_kick,startup_max_ticks,int,,Actions,T17,1,1,Источник Actions.Startup Max Ticks
739,action,kangaroo_push_kick,active_ticks,int,,Actions,U17,1,1,Источник Actions.Active Ticks
740,action,kangaroo_push_kick,hit_schedule,string,,Actions,V17,1,1,Источник Actions.Hit Schedule
741,action,kangaroo_push_kick,hit_count,int,,Actions,W17,1,1,Источник Actions.Hit Count
742,action,kangaroo_push_kick,recovery_base_ticks,int,,Actions,X17,1,1,Источник Actions.Recovery Base Ticks
743,action,kangaroo_push_kick,recovery_min_ticks,int,,Actions,Y17,1,1,Источник Actions.Recovery Min Ticks
744,action,kangaroo_push_kick,recovery_max_ticks,int,,Actions,Z17,1,1,Источник Actions.Recovery Max Ticks
745,action,kangaroo_push_kick,cooldown_ticks,int,,Actions,AA17,1,1,Источник Actions.Cooldown Ticks
746,action,kangaroo_push_kick,action_priority,int,,Actions,AB17,1,1,Источник Actions.Action Priority
747,action,kangaroo_push_kick,clash_priority,int,,Actions,AC17,1,1,Источник Actions.Clash Priority
748,action,kangaroo_push_kick,grab_priority,int,,Actions,AD17,1,1,Источник Actions.Grab Priority
749,action,kangaroo_push_kick,resolution_priority,int,,Actions,AE17,1,1,Источник Actions.Resolution Priority
750,action,kangaroo_push_kick,interrupt_profile,string,,Actions,AF17,1,1,Источник Actions.Interrupt Profile
751,action,kangaroo_push_kick,blockable,bool,,Actions,AG17,1,1,Источник Actions.Blockable
752,action,kangaroo_push_kick,dodgeable,bool,,Actions,AH17,1,1,Источник Actions.Dodgeable
753,action,kangaroo_push_kick,undodgeable,bool,,Actions,AI17,1,1,Источник Actions.Undodgeable
754,action,kangaroo_push_kick,wall_impact,bool,,Actions,AJ17,1,1,Источник Actions.Wall Impact
755,action,kangaroo_push_kick,track_target,bool,,Actions,AK17,1,1,Источник Actions.Track Target
756,action,kangaroo_push_kick,block_base_chance_fp,int,,Actions,AL17,1,1,Источник Actions.Block Base Chance FP
757,action,kangaroo_push_kick,block_reduction_fp,int,,Actions,AM17,1,1,Источник Actions.Block Reduction FP
758,action,kangaroo_push_kick,dodge_base_chance_fp,int,,Actions,AN17,1,1,Источник Actions.Dodge Base Chance FP
759,action,kangaroo_push_kick,movement_mode,string,,Actions,AO17,1,1,Источник Actions.Movement Mode
760,action,kangaroo_push_kick,move_distance,int,,Actions,AP17,1,1,Источник Actions.Move Distance
761,action,kangaroo_push_kick,base_stagger,int,,Actions,AQ17,1,1,Источник Actions.Base Stagger
762,action,kangaroo_push_kick,base_stun_ticks,int,,Actions,AR17,1,1,Источник Actions.Base Stun Ticks
763,action,kangaroo_push_kick,base_knockback,int,,Actions,AS17,1,1,Источник Actions.Base Knockback
764,action,kangaroo_push_kick,knockback_min,int,,Actions,AT17,1,1,Источник Actions.Knockback Min
765,action,kangaroo_push_kick,knockback_max,int,,Actions,AU17,1,1,Источник Actions.Knockback Max
766,action,kangaroo_push_kick,wall_damage_per_unit_fp,int,,Actions,AV17,1,1,Источник Actions.Wall Damage / Unit FP
767,action,kangaroo_push_kick,wall_damage_min,int,,Actions,AW17,1,1,Источник Actions.Wall Damage Min
768,action,kangaroo_push_kick,wall_damage_max,int,,Actions,AX17,1,1,Источник Actions.Wall Damage Max
769,action,kangaroo_push_kick,max_consecutive_uses,int,,Actions,AY17,1,1,Источник Actions.Max Consecutive Uses
770,action,kangaroo_push_kick,opportunity_cap_fp,int,,Actions,AZ17,1,1,Источник Actions.Opportunity Cap FP
771,action,kangaroo_push_kick,hard_opportunity_misses,int,,Actions,BA17,1,1,Источник Actions.Hard Opportunity Misses
772,action,kangaroo_bounding_step,action_id,string,,Actions,A18,1,1,Источник Actions.Action ID
773,action,kangaroo_bounding_step,animal_id,string,,Actions,B18,1,1,Источник Actions.Animal ID
774,action,kangaroo_bounding_step,slot_type,string,,Actions,D18,1,1,Источник Actions.Slot Type
775,action,kangaroo_bounding_step,category,string,,Actions,E18,1,1,Источник Actions.Category
776,action,kangaroo_bounding_step,tags,string,,Actions,F18,1,1,Источник Actions.Tags
777,action,kangaroo_bounding_step,base_weight,int,,Actions,G18,1,1,Источник Actions.Base Weight
778,action,kangaroo_bounding_step,preferred_range_min,int,,Actions,H18,1,1,Источник Actions.Preferred Range Min
779,action,kangaroo_bounding_step,preferred_range_max,int,,Actions,I18,1,1,Источник Actions.Preferred Range Max
780,action,kangaroo_bounding_step,hit_range_min,int,,Actions,J18,1,1,Источник Actions.Hit Range Min
781,action,kangaroo_bounding_step,hit_range_max,int,,Actions,K18,1,1,Источник Actions.Hit Range Max
782,action,kangaroo_bounding_step,energy_cost,int,,Actions,L18,1,1,Источник Actions.Energy Cost
783,action,kangaroo_bounding_step,resource_cost,int,,Actions,M18,1,1,Источник Actions.Resource Cost
784,action,kangaroo_bounding_step,base_damage,int,,Actions,N18,1,1,Источник Actions.Base Damage / hit
785,action,kangaroo_bounding_step,power_ratio_fp,int,,Actions,O18,1,1,Источник Actions.Power Ratio FP
786,action,kangaroo_bounding_step,min_damage,int,,Actions,P18,1,1,Источник Actions.Min Damage
787,action,kangaroo_bounding_step,chip_min,int,,Actions,Q18,1,1,Источник Actions.Chip Min
788,action,kangaroo_bounding_step,startup_base_ticks,int,,Actions,R18,1,1,Источник Actions.Startup Base Ticks
789,action,kangaroo_bounding_step,startup_min_ticks,int,,Actions,S18,1,1,Источник Actions.Startup Min Ticks
790,action,kangaroo_bounding_step,startup_max_ticks,int,,Actions,T18,1,1,Источник Actions.Startup Max Ticks
791,action,kangaroo_bounding_step,active_ticks,int,,Actions,U18,1,1,Источник Actions.Active Ticks
792,action,kangaroo_bounding_step,hit_schedule,string,,Actions,V18,1,1,Источник Actions.Hit Schedule
793,action,kangaroo_bounding_step,hit_count,int,,Actions,W18,1,1,Источник Actions.Hit Count
794,action,kangaroo_bounding_step,recovery_base_ticks,int,,Actions,X18,1,1,Источник Actions.Recovery Base Ticks
795,action,kangaroo_bounding_step,recovery_min_ticks,int,,Actions,Y18,1,1,Источник Actions.Recovery Min Ticks
796,action,kangaroo_bounding_step,recovery_max_ticks,int,,Actions,Z18,1,1,Источник Actions.Recovery Max Ticks
797,action,kangaroo_bounding_step,cooldown_ticks,int,,Actions,AA18,1,1,Источник Actions.Cooldown Ticks
